column_name,description
ein,Employer Identification Number formatted as XX-XXXXXXX
ein_raw,Original 9-digit EIN value from source file without formatting
org_name_raw,Original organization name exactly as it appears in the source file
org_name_join,Standardized name for matching and joining (uppercase punctuation removed)
org_name_display,Title-cased organization name suitable for display purposes
org_legal_suffix,Legal entity suffix extracted from name (Inc Corp LLC Foundation etc.)
org_parent_name,Parent organization name if this is a subordinate/chapter organization
dba_name,Cleaned Doing Business As name
dba_name_raw,Original secondary/DBA name from source file
in_care_of_name_raw,Original In Care Of field from source file
in_care_of_name_clean,Cleaned ICO name with standardized formatting
in_care_of_name_provided,Boolean indicating whether an ICO name was provided
group_exemption_number_raw,Original group exemption number from source file
group_exemption_number,Cleaned group exemption number (GEN)
group_exemption_is_member,Boolean indicating if organization is a member of a group exemption
org_addr_street_raw,Original street address from source file
org_addr_city_raw,Original city name from source file
org_addr_state_raw,Original state code from source file
org_addr_zip_raw,Original ZIP code from source file
org_addr_street,Standardized street address with USPS abbreviations
org_addr_city,Cleaned city name
org_addr_state,Two-letter state abbreviation
org_addr_zip5,5-digit ZIP code
org_addr_zip4,4-digit ZIP code extension (if available)
org_addr_zip,Full ZIP code (5 or 9 digits)
org_addr_full,Complete formatted address string
org_addr_is_missing,TRUE if street address is missing or empty
org_addr_is_po_box,TRUE if address is a P.O. Box
org_addr_is_rural_route,TRUE if address is a rural route
org_addr_has_special_chars,TRUE if address contains unusual special characters
org_addr_missing_number,TRUE if street address lacks a street number
org_addr_state_invalid,TRUE if state code is not a valid US state/territory
subsection_code,IRS subsection code (e.g. 03 for 501(c)(3) 04 for 501(c)(4))
classification_code,IRS classification code indicating organization type within subsection
exempt_organization_type,Human-readable exempt organization type based on subsection
all_classifications_string,Semicolon-separated list of all classification descriptions
affiliation_code,Code indicating relationship to parent organization (1-9)
affiliation_code_definition,Description of affiliation relationship
deductibility_code,Code indicating deductibility status of contributions (1-4)
deductibility_code_definition,Description of contribution deductibility
foundation_code,Foundation status code (00-99) per IRS determination
foundation_code_definition,Description of foundation/public charity status
organization_code,Code for type of organization (corporation trust etc.)
organization_code_definition,Description of organization type
status_code,IRS determination status code (01-99)
status_code_definition,Description of exempt status
naics_code,North American Industry Classification System code derived from NTEE
ruling_date_ym_str,Ruling date as YYYYMM string
ruling_date,Date of IRS ruling granting exempt status
ruling_date_is_missing,TRUE if ruling date is missing or invalid
tax_period_ym_str,Tax period end date as YYYYMM string
tax_period_ymd,Tax period end date in YYYY-MM-DD format
tax_period_is_missing,TRUE if tax period is missing
accounting_period,Month when organizations accounting period ends (01-12)
asset_code,Asset amount range code (0-9)
asset_code_definition,Description of asset range (e.g. $100000 to $499999)
income_code,Income amount range code (0-9)
income_code_definition,Description of income range
asset_amount,Total assets in dollars (most recent return)
income_amount,Total income in dollars (can be negative)
revenue_amount,Total revenue in dollars (can be negative)
activity_code,Three 3-digit activity codes concatenated (9 characters total)
activity_code_definitions,Semicolon-separated descriptions of activity codes
activity_code_categories,Semicolon-separated activity categories
filing_requirement_code,Code indicating required annual return form (0-6)
filing_requirement_code_definition,Description of filing requirement (990 990-EZ 990-N etc.)
pf_filing_requirement_code,Private foundation filing requirement code
pf_filing_requirement_code_definition,Description of private foundation filing requirement
ntee_code_raw,Original NTEE code from source file (1-4 characters)
ntee_code_clean,Standardized 3-character NTEE code
ntee_code_definition,Full description of NTEE classification
ntee_code_major_group,NTEE major group letter (A-Z) indicating broad category
ntee_activity_code,NTEE activity type code (2-digit numeric portion)
ntee_activity_code_definition,Description of NTEE activity type
ntee_common_code,Common code suffix for 4-character NTEE codes (e.g. 01-99)
ntee_common_code_definition,Description of common code suffix
nteev2,Full NTEEv2 code in SUBSECTOR-CODE-TYPE format
nteev2_code,NTEEv2 code portion (3 characters)
nteev2_subsector,NTEEv2 subsector code (e.g. UNI HOS ART ENV)
nteev2_org_type,NTEEv2 organization type (RG=Regular AA=Alliance etc.)
