ntee_code,description,irs_source,irs_revision
B05,Research Institutes & Public Policy Analysis,"Instructions for Form 1023, Appendix D",12/2024
B11,Single Organization Support,"Instructions for Form 1023, Appendix D",12/2024
B12,Fundraising & Fund Distribution,"Instructions for Form 1023, Appendix D",12/2024
B19,Support N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
B20,Elementary & Secondary Schools,"Instructions for Form 1023, Appendix D",12/2024
B21,Preschools,"Instructions for Form 1023, Appendix D",12/2024
B24,Primary & Elementary Schools,"Instructions for Form 1023, Appendix D",12/2024
B25,Secondary & High Schools,"Instructions for Form 1023, Appendix D",12/2024
B28,Special Education,"Instructions for Form 1023, Appendix D",12/2024
B29,Charter Schools,"Instructions for Form 1023, Appendix D",12/2024
B30,Vocational & Technical Schools,"Instructions for Form 1023, Appendix D",12/2024
B40,Higher Education Institutions,"Instructions for Form 1023, Appendix D",12/2024
B41,Two-Year Colleges,"Instructions for Form 1023, Appendix D",12/2024
B42,Two-Year Colleges,"Instructions for Form 1023, Appendix D",12/2024
B43,Undergraduate Colleges,"Instructions for Form 1023, Appendix D",12/2024
B50,Graduate & Professional Schools,"Instructions for Form 1023, Appendix D",12/2024
B60,Adult Education,"Instructions for Form 1023, Appendix D",12/2024
B70,Libraries,"Instructions for Form 1023, Appendix D",12/2024
B80,Student Services,"Instructions for Form 1023, Appendix D",12/2024
B82,Scholarships & Student Financial Aid,"Instructions for Form 1023, Appendix D",12/2024
B83,Student Sororities & Fraternities,"Instructions for Form 1023, Appendix D",12/2024
B84,Alumni Associations,"Instructions for Form 1023, Appendix D",12/2024
B90,Educational Services,"Instructions for Form 1023, Appendix D",12/2024
B92,Remedial Reading & Encouragement,"Instructions for Form 1023, Appendix D",12/2024
B94,Parent & Teacher Groups,"Instructions for Form 1023, Appendix D",12/2024
B99,Education N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
C01,Alliances & Advocacy,"Instructions for Form 1023, Appendix D",12/2024
C02,Management & Technical Assistance,"Instructions for Form 1023, Appendix D",12/2024
C03,Professional Societies & Associations,"Instructions for Form 1023, Appendix D",12/2024
C05,Research Institutes & Public Policy Analysis,"Instructions for Form 1023, Appendix D",12/2024
C11,Single Organization Support,"Instructions for Form 1023, Appendix D",12/2024
C12,Fundraising & Fund Distribution,"Instructions for Form 1023, Appendix D",12/2024
C19,Support N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
C20,Pollution Abatement & Control,"Instructions for Form 1023, Appendix D",12/2024
C27,Recycling,"Instructions for Form 1023, Appendix D",12/2024
C30,Natural Resources Conservation & Protection,"Instructions for Form 1023, Appendix D",12/2024
C32,"Water Resources, Wetland Conservation & Management","Instructions for Form 1023, Appendix D",12/2024
C34,Land Resources Conservation,"Instructions for Form 1023, Appendix D",12/2024
C35,Energy Resources Conservation & Development,"Instructions for Form 1023, Appendix D",12/2024
C36,Forest Conservation,"Instructions for Form 1023, Appendix D",12/2024
C40,"Botanical, Horticultural & Landscape Services","Instructions for Form 1023, Appendix D",12/2024
C41,Botanical Gardens & Arboreta,"Instructions for Form 1023, Appendix D",12/2024
C42,Garden Clubs,"Instructions for Form 1023, Appendix D",12/2024
C50,Environmental Beautification,"Instructions for Form 1023, Appendix D",12/2024
C60,Environmental Education,"Instructions for Form 1023, Appendix D",12/2024
C99,Environmental N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
D01,Alliance & Advocacy,"Instructions for Form 1023, Appendix D",12/2024
D02,Management & Technical Assistance,"Instructions for Form 1023, Appendix D",12/2024
D03,Professional Societies & Associations,"Instructions for Form 1023, Appendix D",12/2024
D05,Research Institutes & Public Policy Analysis,"Instructions for Form 1023, Appendix D",12/2024
D11,Single Organization Support,"Instructions for Form 1023, Appendix D",12/2024
D12,Fundraising & Fund Distribution,"Instructions for Form 1023, Appendix D",12/2024
D19,Support N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
D20,Animal Protection & Welfare,"Instructions for Form 1023, Appendix D",12/2024
D30,Wildlife Preservation & Protection,"Instructions for Form 1023, Appendix D",12/2024
D31,Protection of Endangered Species,"Instructions for Form 1023, Appendix D",12/2024
D32,Bird Sanctuaries,"Instructions for Form 1023, Appendix D",12/2024
D33,Fisheries Resources,"Instructions for Form 1023, Appendix D",12/2024
D34,Wildlife Sanctuaries,"Instructions for Form 1023, Appendix D",12/2024
D40,Veterinary Services,"Instructions for Form 1023, Appendix D",12/2024
D50,Zoos & Aquariums,"Instructions for Form 1023, Appendix D",12/2024
D60,Animal Services N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
D61,Animal Training,"Instructions for Form 1023, Appendix D",12/2024
D99,Animal Related N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
E01,Alliances & Advocacy,"Instructions for Form 1023, Appendix D",12/2024
E02,Management & Technical Assistance,"Instructions for Form 1023, Appendix D",12/2024
E03,Professional Societies & Associations,"Instructions for Form 1023, Appendix D",12/2024
E05,Research Institutes & Public Policy Analysis,"Instructions for Form 1023, Appendix D",12/2024
E11,Single Organization Support,"Instructions for Form 1023, Appendix D",12/2024
E12,Fundraising & Fund Distribution,"Instructions for Form 1023, Appendix D",12/2024
E19,Support N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
E20,Hospitals,"Instructions for Form 1023, Appendix D",12/2024
E21,Community Health Systems,"Instructions for Form 1023, Appendix D",12/2024
E22,General Hospitals,"Instructions for Form 1023, Appendix D",12/2024
E24,Specialty Hospitals,"Instructions for Form 1023, Appendix D",12/2024
E30,Ambulatory & Primary Health Care,"Instructions for Form 1023, Appendix D",12/2024
E31,Group Health Practices,"Instructions for Form 1023, Appendix D",12/2024
E32,Community Clinics,"Instructions for Form 1023, Appendix D",12/2024
E40,Reproductive Health Care,"Instructions for Form 1023, Appendix D",12/2024
E42,Family Planning,"Instructions for Form 1023, Appendix D",12/2024
E50,Rehabilitative Care,"Instructions for Form 1023, Appendix D",12/2024
E60,Health Support,"Instructions for Form 1023, Appendix D",12/2024
E61,Blood Banks,"Instructions for Form 1023, Appendix D",12/2024
E62,Emergency Medical Services & Transport,"Instructions for Form 1023, Appendix D",12/2024
E65,Organ & Tissue Banks,"Instructions for Form 1023, Appendix D",12/2024
E6A,Pharmacies & Drugstores,"Instructions for Form 1023, Appendix D",12/2024
E70,Public Health,"Instructions for Form 1023, Appendix D",12/2024
E80,Health (General & Financing),"Instructions for Form 1023, Appendix D",12/2024
E86,Patient & Family Support,"Instructions for Form 1023, Appendix D",12/2024
E90,Nursing,"Instructions for Form 1023, Appendix D",12/2024
E91,Nursing Facilities,"Instructions for Form 1023, Appendix D",12/2024
E92,Home Health Care,"Instructions for Form 1023, Appendix D",12/2024
E99,Health Care N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
F01,Alliances & Advocacy,"Instructions for Form 1023, Appendix D",12/2024
F02,Management & Technical Assistance,"Instructions for Form 1023, Appendix D",12/2024
F03,Professional Societies & Associations,"Instructions for Form 1023, Appendix D",12/2024
F05,Research Institutes & Public Policy Analysis,"Instructions for Form 1023, Appendix D",12/2024
F11,Single Organization Support,"Instructions for Form 1023, Appendix D",12/2024
F12,Fundraising & Fund Distribution,"Instructions for Form 1023, Appendix D",12/2024
F19,Support N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
F20,"Substance Abuse Dependency, Prevention & Treatment","Instructions for Form 1023, Appendix D",12/2024
F21,Substance Abuse Prevention,"Instructions for Form 1023, Appendix D",12/2024
F22,Substance Abuse Treatment,"Instructions for Form 1023, Appendix D",12/2024
F30,Mental Health Treatment,"Instructions for Form 1023, Appendix D",12/2024
F31,Psychiatric Hospitals,"Instructions for Form 1023, Appendix D",12/2024
F32,Community Mental Health Centers,"Instructions for Form 1023, Appendix D",12/2024
F33,Residential Mental Health Treatment,"Instructions for Form 1023, Appendix D",12/2024
F40,Hot Line & Crisis Intervention,"Instructions for Form 1023, Appendix D",12/2024
F42,Sexual Assault Services,"Instructions for Form 1023, Appendix D",12/2024
F50,Addictive Disorders N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
F52,Smoking Addiction,"Instructions for Form 1023, Appendix D",12/2024
F53,Eating Disorders & Addictions,"Instructions for Form 1023, Appendix D",12/2024
F54,Gambling Addiction,"Instructions for Form 1023, Appendix D",12/2024
F60,Counseling,"Instructions for Form 1023, Appendix D",12/2024
F70,Mental Health Disorders,"Instructions for Form 1023, Appendix D",12/2024
F80,Mental Health Associations,"Instructions for Form 1023, Appendix D",12/2024
F99,Mental Health & Crisis Intervention N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
G01,Alliances & Advocacy,"Instructions for Form 1023, Appendix D",12/2024
G02,Management & Technical Assistance,"Instructions for Form 1023, Appendix D",12/2024
G03,Professional Societies & Associations,"Instructions for Form 1023, Appendix D",12/2024
G05,Research Institute & Public Policy Analysis,"Instructions for Form 1023, Appendix D",12/2024
G11,Single Organization Support,"Instructions for Form 1023, Appendix D",12/2024
G12,Fundraising & Fund Distribution,"Instructions for Form 1023, Appendix D",12/2024
G19,Support N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
G20,Birth Defects & Genetic Diseases,"Instructions for Form 1023, Appendix D",12/2024
G25,Down Syndrome,"Instructions for Form 1023, Appendix D",12/2024
G30,Cancer,"Instructions for Form 1023, Appendix D",12/2024
G32,Breast Cancer,"Instructions for Form 1023, Appendix D",12/2024
G40,Diseases of Specific Organs,"Instructions for Form 1023, Appendix D",12/2024
G41,"Eye Diseases, Blindness & Vision Impairments","Instructions for Form 1023, Appendix D",12/2024
G42,Ear & Throat Diseases,"Instructions for Form 1023, Appendix D",12/2024
G43,Heart & Circulator System Diseases & Disorders,"Instructions for Form 1023, Appendix D",12/2024
G44,Kidney Diseases,"Instructions for Form 1023, Appendix D",12/2024
G45,Lung Diseases,"Instructions for Form 1023, Appendix D",12/2024
G48,Brain Disorder,"Instructions for Form 1023, Appendix D",12/2024
G50,"Nerve, Muscle, & Bone Diseases","Instructions for Form 1023, Appendix D",12/2024
G51,Arthritis,"Instructions for Form 1023, Appendix D",12/2024
G54,Epilepsy,"Instructions for Form 1023, Appendix D",12/2024
G60,Allergy Related Diseases,"Instructions for Form 1023, Appendix D",12/2024
G61,Asthma,"Instructions for Form 1023, Appendix D",12/2024
G70,Digestive Diseases & Disorders,"Instructions for Form 1023, Appendix D",12/2024
G80,Specific Named Disorders,"Instructions for Form 1023, Appendix D",12/2024
G81,AIDS,"Instructions for Form 1023, Appendix D",12/2024
G83,Alzheimer's Diseases,"Instructions for Form 1023, Appendix D",12/2024
G84,Autism,"Instructions for Form 1023, Appendix D",12/2024
G90,Medical Disciplines,"Instructions for Form 1023, Appendix D",12/2024
G92,Biomedicine & Bioengineering,"Instructions for Form 1023, Appendix D",12/2024
G94,Geriatrics,"Instructions for Form 1023, Appendix D",12/2024
G96,Neurology & Neuroscience,"Instructions for Form 1023, Appendix D",12/2024
G98,Pediatrics,"Instructions for Form 1023, Appendix D",12/2024
G99,"Voluntary Health Associations, Medical Disciplines N.E.C.","Instructions for Form 1023, Appendix D",12/2024
G9B,Surgical Specialties,"Instructions for Form 1023, Appendix D",12/2024
H01,Alliances & Advocacy,"Instructions for Form 1023, Appendix D",12/2024
H02,Management & Technical Assistance,"Instructions for Form 1023, Appendix D",12/2024
H03,Professional Societies & Associations,"Instructions for Form 1023, Appendix D",12/2024
H05,Research Institute & Public Policy Analysis,"Instructions for Form 1023, Appendix D",12/2024
H11,Single Organization Support,"Instructions for Form 1023, Appendix D",12/2024
H12,Fundraising & Fund Distribution,"Instructions for Form 1023, Appendix D",12/2024
H19,Support N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
H20,Birth Defects & Genetic Diseases Research,"Instructions for Form 1023, Appendix D",12/2024
H25,Down Syndrome Research,"Instructions for Form 1023, Appendix D",12/2024
H30,Cancer Research,"Instructions for Form 1023, Appendix D",12/2024
H32,Breast Cancer Research,"Instructions for Form 1023, Appendix D",12/2024
H40,Diseases of Specific Organs Research,"Instructions for Form 1023, Appendix D",12/2024
H41,"Eye Diseases, Blindness & Vision Impairments Research","Instructions for Form 1023, Appendix D",12/2024
H42,Ear & Throat Diseases Research,"Instructions for Form 1023, Appendix D",12/2024
H43,Heart & Circulatory System Diseases & Disorders Research,"Instructions for Form 1023, Appendix D",12/2024
H44,Kidney Diseases Research,"Instructions for Form 1023, Appendix D",12/2024
H45,Lung Diseases Research,"Instructions for Form 1023, Appendix D",12/2024
H48,Brain Disorders Research,"Instructions for Form 1023, Appendix D",12/2024
H50,"Nerve, Muscle & Bone Diseases Research","Instructions for Form 1023, Appendix D",12/2024
H51,Arthritis Research,"Instructions for Form 1023, Appendix D",12/2024
H54,Epilepsy Research,"Instructions for Form 1023, Appendix D",12/2024
H60,Allergy-Related Diseases Research,"Instructions for Form 1023, Appendix D",12/2024
H61,Asthma Research,"Instructions for Form 1023, Appendix D",12/2024
H70,Digestive Diseases & Disorders Research,"Instructions for Form 1023, Appendix D",12/2024
H80,Specifically Named Diseases Research,"Instructions for Form 1023, Appendix D",12/2024
H81,AIDS Research,"Instructions for Form 1023, Appendix D",12/2024
H83,Alzheimer's Disease Research,"Instructions for Form 1023, Appendix D",12/2024
H84,Autism Research,"Instructions for Form 1023, Appendix D",12/2024
H90,Medical Disciplines Research,"Instructions for Form 1023, Appendix D",12/2024
H92,Biomedicine & Bioengineering Research,"Instructions for Form 1023, Appendix D",12/2024
H94,Geriatrics Research,"Instructions for Form 1023, Appendix D",12/2024
H96,Neurology & Neuroscience Research,"Instructions for Form 1023, Appendix D",12/2024
H98,Pediatrics Research,"Instructions for Form 1023, Appendix D",12/2024
H99,Medical Research N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
H9B,Surgical Specialties Research,"Instructions for Form 1023, Appendix D",12/2024
I01,Alliances & Advocacy,"Instructions for Form 1023, Appendix D",12/2024
I02,Management & Technical Assistance,"Instructions for Form 1023, Appendix D",12/2024
I03,Professional Societies & Associations,"Instructions for Form 1023, Appendix D",12/2024
I05,Research Institutes & Public Policy Analysis,"Instructions for Form 1023, Appendix D",12/2024
I11,Single Organization Support,"Instructions for Form 1023, Appendix D",12/2024
I12,Fundraising & Fund Distribution,"Instructions for Form 1023, Appendix D",12/2024
I19,Support N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
I20,Crime Prevention,"Instructions for Form 1023, Appendix D",12/2024
I21,Youth Violence Prevention,"Instructions for Form 1023, Appendix D",12/2024
I23,Drunk Driving-Related,"Instructions for Form 1023, Appendix D",12/2024
I30,Correctional Facilities,"Instructions for Form 1023, Appendix D",12/2024
I31,Half-Way Houses for Offenders & Ex-Offenders,"Instructions for Form 1023, Appendix D",12/2024
I40,Rehabilitation Services for Offenders,"Instructions for Form 1023, Appendix D",12/2024
I43,Inmate Support,"Instructions for Form 1023, Appendix D",12/2024
I44,Prison Alternatives,"Instructions for Form 1023, Appendix D",12/2024
I50,Administration of Justice,"Instructions for Form 1023, Appendix D",12/2024
I51,Dispute Resolution & Mediation,"Instructions for Form 1023, Appendix D",12/2024
I60,Law Enforcement,"Instructions for Form 1023, Appendix D",12/2024
I70,Protection Against Abuse,"Instructions for Form 1023, Appendix D",12/2024
I71,Spouse Abuse Prevention,"Instructions for Form 1023, Appendix D",12/2024
I72,Child Abuse Prevention,"Instructions for Form 1023, Appendix D",12/2024
I73,Sexual Abuse Prevention,"Instructions for Form 1023, Appendix D",12/2024
I80,Legal Services,"Instructions for Form 1023, Appendix D",12/2024
I83,Public Interest Law,"Instructions for Form 1023, Appendix D",12/2024
I99,Crime & Legal-Related N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
J01,Alliances & Advocacy,"Instructions for Form 1023, Appendix D",12/2024
J02,Management & Technical Assistance,"Instructions for Form 1023, Appendix D",12/2024
J03,Professional Societies & Associations,"Instructions for Form 1023, Appendix D",12/2024
J05,Single Organization Support,"Instructions for Form 1023, Appendix D",12/2024
J11,Consumer Lending,"Instructions for Form 1023, Appendix D",12/2024
J12,Fundraising & Fund Distribution,"Instructions for Form 1023, Appendix D",12/2024
J19,Support N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
J20,Employment Preparation & Procurement,"Instructions for Form 1023, Appendix D",12/2024
J21,Vocational Counseling,"Instructions for Form 1023, Appendix D",12/2024
J22,Job Training,"Instructions for Form 1023, Appendix D",12/2024
J30,Vocational Rehabilitation,"Instructions for Form 1023, Appendix D",12/2024
J32,Goodwill Industries,"Instructions for Form 1023, Appendix D",12/2024
J33,Sheltered Employment,"Instructions for Form 1023, Appendix D",12/2024
J40,Labor Unions,"Instructions for Form 1023, Appendix D",12/2024
J99,Employment N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
K01,Alliances & Advocacy,"Instructions for Form 1023, Appendix D",12/2024
K02,Management & Technical Assistance,"Instructions for Form 1023, Appendix D",12/2024
K03,Professional Societies & Associations,"Instructions for Form 1023, Appendix D",12/2024
K05,Research Institutes & Public Policy Analysis,"Instructions for Form 1023, Appendix D",12/2024
K11,Single Organization Support,"Instructions for Form 1023, Appendix D",12/2024
K12,Fundraising & Fund Distribution,"Instructions for Form 1023, Appendix D",12/2024
K19,Support N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
K20,Agricultural Programs,"Instructions for Form 1023, Appendix D",12/2024
K25,Farmland Preservation,"Instructions for Form 1023, Appendix D",12/2024
K26,Animal Husbandry,"Instructions for Form 1023, Appendix D",12/2024
K28,Farm Bureaus & Granges,"Instructions for Form 1023, Appendix D",12/2024
K2A,Other Vegetable (except Potato) & Melon Farming,"Instructions for Form 1023, Appendix D",12/2024
K2B,"Soil Preparation, Planting, & Cultivating","Instructions for Form 1023, Appendix D",12/2024
K2C,Wineries,"Instructions for Form 1023, Appendix D",12/2024
K30,Food Programs,"Instructions for Form 1023, Appendix D",12/2024
K31,Food Banks & Pantries,"Instructions for Form 1023, Appendix D",12/2024
K34,Congregate Meals,"Instructions for Form 1023, Appendix D",12/2024
K35,Soup Kitchens,"Instructions for Form 1023, Appendix D",12/2024
K36,Meals on Wheels,"Instructions for Form 1023, Appendix D",12/2024
K40,Nutrition,"Instructions for Form 1023, Appendix D",12/2024
K50,Home Economics,"Instructions for Form 1023, Appendix D",12/2024
K6A,Meat Markets,"Instructions for Form 1023, Appendix D",12/2024
K6B,Confectionery & Nut Stores,"Instructions for Form 1023, Appendix D",12/2024
K6C,Caterers,"Instructions for Form 1023, Appendix D",12/2024
K6D,Mobile Food Services,"Instructions for Form 1023, Appendix D",12/2024
K6E,Drinking Places,"Instructions for Form 1023, Appendix D",12/2024
K6F,Snack Nonalcoholic Beverage Bars,"Instructions for Form 1023, Appendix D",12/2024
K90,Limited-Service Restaurants,"Instructions for Form 1023, Appendix D",12/2024
K91,Supermarkets & Other Grocery (except Convenience) Stores,"Instructions for Form 1023, Appendix D",12/2024
K92,Convenience Stores,"Instructions for Form 1023, Appendix D",12/2024
K93,Fruit & Vegetable Markets,"Instructions for Form 1023, Appendix D",12/2024
K94,All Other Specialty Food Stores,"Instructions for Form 1023, Appendix D",12/2024
K95,Food (Health) Supplement Stores,"Instructions for Form 1023, Appendix D",12/2024
K96,Warehouse Clubs & Supercenters,"Instructions for Form 1023, Appendix D",12/2024
K97,Food Service Contractors,"Instructions for Form 1023, Appendix D",12/2024
K98,Full-Service Restaurants,"Instructions for Form 1023, Appendix D",12/2024
K99,"Food, Agriculture & Nutrition N.E.C.","Instructions for Form 1023, Appendix D",12/2024
L01,Alliances & Advocacy,"Instructions for Form 1023, Appendix D",12/2024
L02,Management & Technical Assistance,"Instructions for Form 1023, Appendix D",12/2024
L03,Professional Societies & Associations,"Instructions for Form 1023, Appendix D",12/2024
L05,Research Institutes & Public Policy Analysis,"Instructions for Form 1023, Appendix D",12/2024
L11,Single Organization Support,"Instructions for Form 1023, Appendix D",12/2024
L12,Fundraising & Fund Distribution,"Instructions for Form 1023, Appendix D",12/2024
L19,Support N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
L20,"Housing Development, Construction & Management","Instructions for Form 1023, Appendix D",12/2024
L21,Low-Income & Subsidized Rental Housing,"Instructions for Form 1023, Appendix D",12/2024
L22,Senior Citizens' Housing & Retirement Communities,"Instructions for Form 1023, Appendix D",12/2024
L24,Independent Housing for People with Disabilities,"Instructions for Form 1023, Appendix D",12/2024
L25,Housing Rehabilitation,"Instructions for Form 1023, Appendix D",12/2024
L30,Housing Search Assistance,"Instructions for Form 1023, Appendix D",12/2024
L40,Temporary Housing,"Instructions for Form 1023, Appendix D",12/2024
L41,Homeless Shelters,"Instructions for Form 1023, Appendix D",12/2024
L4A,Hotels (except Casino Hotels) & Motels,"Instructions for Form 1023, Appendix D",12/2024
L4B,Bed and Breakfast Inns,"Instructions for Form 1023, Appendix D",12/2024
L50,Homeowners & Tenants Associations,"Instructions for Form 1023, Appendix D",12/2024
L80,Housing Support,"Instructions for Form 1023, Appendix D",12/2024
L81,Home Improvement & Repairs,"Instructions for Form 1023, Appendix D",12/2024
L82,Housing Expense Reduction Support,"Instructions for Form 1023, Appendix D",12/2024
L99,Housing & Shelter N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
M01,Alliances & Advocacy,"Instructions for Form 1023, Appendix D",12/2024
M02,Management & Technical Assistance,"Instructions for Form 1023, Appendix D",12/2024
M03,Professional Societies & Associations,"Instructions for Form 1023, Appendix D",12/2024
M05,Research Institutes & Public Policy Analysis,"Instructions for Form 1023, Appendix D",12/2024
M11,Single Organization Support,"Instructions for Form 1023, Appendix D",12/2024
M12,Fundraising & Fund Distribution,"Instructions for Form 1023, Appendix D",12/2024
M19,Support N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
M20,Disaster Preparedness & Relief Services,"Instructions for Form 1023, Appendix D",12/2024
M23,Search & Rescue Squads,"Instructions for Form 1023, Appendix D",12/2024
M24,Fire Prevention,"Instructions for Form 1023, Appendix D",12/2024
M40,Safety Education,"Instructions for Form 1023, Appendix D",12/2024
M41,First Aid,"Instructions for Form 1023, Appendix D",12/2024
M42,Automotive Safety,"Instructions for Form 1023, Appendix D",12/2024
M60,Public Safety Benevolent Associations,"Instructions for Form 1023, Appendix D",12/2024
M99,"Public Safety, Disaster Preparedness & Relief N.E.C.","Instructions for Form 1023, Appendix D",12/2024
N01,Alliances & Advocacy,"Instructions for Form 1023, Appendix D",12/2024
N02,Employment Services,"Instructions for Form 1023, Appendix D",12/2024
N03,Professional Societies & Associations,"Instructions for Form 1023, Appendix D",12/2024
N05,Research Institutes & Public Policy Analysis,"Instructions for Form 1023, Appendix D",12/2024
N11,Single Organization Support,"Instructions for Form 1023, Appendix D",12/2024
N12,Fundraising & Fund Distribution,"Instructions for Form 1023, Appendix D",12/2024
N19,Support N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
N20,Camps,"Instructions for Form 1023, Appendix D",12/2024
N2A,RV (Recreational Vehicle) Parks & Campgrounds,"Instructions for Form 1023, Appendix D",12/2024
N2B,Recreational and Vacation Camps (Except Campgrounds),"Instructions for Form 1023, Appendix D",12/2024
N30,Physical Fitness & Community Recreational Facilities,"Instructions for Form 1023, Appendix D",12/2024
N31,Community Recreational Centers,"Instructions for Form 1023, Appendix D",12/2024
N32,Parks & Playgrounds,"Instructions for Form 1023, Appendix D",12/2024
N40,"Sports Training Facilities, Agencies","Instructions for Form 1023, Appendix D",12/2024
N50,Recreational Clubs,"Instructions for Form 1023, Appendix D",12/2024
N52,Fairs,"Instructions for Form 1023, Appendix D",12/2024
N60,Amateur Sports,"Instructions for Form 1023, Appendix D",12/2024
N61,Fishing & Hunting,"Instructions for Form 1023, Appendix D",12/2024
N62,Basketball,"Instructions for Form 1023, Appendix D",12/2024
N63,Baseball & Softball,"Instructions for Form 1023, Appendix D",12/2024
N64,Soccer,"Instructions for Form 1023, Appendix D",12/2024
N65,Football,"Instructions for Form 1023, Appendix D",12/2024
N66,Racquet Sports,"Instructions for Form 1023, Appendix D",12/2024
N67,Swimming & Other Water Recreation,"Instructions for Form 1023, Appendix D",12/2024
N68,Winter Sports,"Instructions for Form 1023, Appendix D",12/2024
N69,Equestrian,"Instructions for Form 1023, Appendix D",12/2024
N6A,Golf,"Instructions for Form 1023, Appendix D",12/2024
N70,Amateur Sports Competitions,"Instructions for Form 1023, Appendix D",12/2024
N71,Olympics,"Instructions for Form 1023, Appendix D",12/2024
N72,Special Olympics,"Instructions for Form 1023, Appendix D",12/2024
N80,Professional Athletic Leagues,"Instructions for Form 1023, Appendix D",12/2024
N99,Recreation & Sports N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
