ntee_code,description,irs_source,irs_revision
A01,Alliances & Advocacy,"Instructions for Form 1023, Appendix D",12/2024
A02,Management & Technical Assistance,"Instructions for Form 1023, Appendix D",12/2024
A03,Professional Societies & Associations,"Instructions for Form 1023, Appendix D",12/2024
A05,Research Institutes & Public Policy Analysis,"Instructions for Form 1023, Appendix D",12/2024
A11,Single Organization Support,"Instructions for Form 1023, Appendix D",12/2024
A12,Fund Raising & Fund Distribution,"Instructions for Form 1023, Appendix D",12/2024
A19,Support N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
A20,Arts & Culture,"Instructions for Form 1023, Appendix D",12/2024
A23,Cultural & Ethnic Awareness,"Instructions for Form 1023, Appendix D",12/2024
A24,Folk Arts,"Instructions for Form 1023, Appendix D",12/2024
A25,Art Education,"Instructions for Form 1023, Appendix D",12/2024
A26,Arts & Humanities Councils & Agencies,"Instructions for Form 1023, Appendix D",12/2024
A27,Community Celebrations,"Instructions for Form 1023, Appendix D",12/2024
A30,Media & Communications,"Instructions for Form 1023, Appendix D",12/2024
A31,Film & Video,"Instructions for Form 1023, Appendix D",12/2024
A32,Television,"Instructions for Form 1023, Appendix D",12/2024
A33,Printing & Publishing,"Instructions for Form 1023, Appendix D",12/2024
A34,Radio,"Instructions for Form 1023, Appendix D",12/2024
A40,Visual Arts,"Instructions for Form 1023, Appendix D",12/2024
A50,Museums,"Instructions for Form 1023, Appendix D",12/2024
A51,Art Museums,"Instructions for Form 1023, Appendix D",12/2024
A52,Children's Museums,"Instructions for Form 1023, Appendix D",12/2024
A54,History Museums,"Instructions for Form 1023, Appendix D",12/2024
A56,Natural History & Natural Science Museums,"Instructions for Form 1023, Appendix D",12/2024
A57,Science & Technology Museums,"Instructions for Form 1023, Appendix D",12/2024
A60,Performing Art,"Instructions for Form 1023, Appendix D",12/2024
A61,Performing Arts Centers,"Instructions for Form 1023, Appendix D",12/2024
A62,Dance,"Instructions for Form 1023, Appendix D",12/2024
A63,Ballet,"Instructions for Form 1023, Appendix D",12/2024
A65,Theater,"Instructions for Form 1023, Appendix D",12/2024
A68,Music,"Instructions for Form 1023, Appendix D",12/2024
A69,Symphony Orchestras,"Instructions for Form 1023, Appendix D",12/2024
A6A,Opera,"Instructions for Form 1023, Appendix D",12/2024
A6B,Singing & Choral Groups,"Instructions for Form 1023, Appendix D",12/2024
A6C,Bands & Ensembles,"Instructions for Form 1023, Appendix D",12/2024
A6E,Performing Arts Schools,"Instructions for Form 1023, Appendix D",12/2024
A70,Humanities Organizations,"Instructions for Form 1023, Appendix D",12/2024
A80,Historical Organizations,"Instructions for Form 1023, Appendix D",12/2024
A82,Historical Societies & Historic Preservation,"Instructions for Form 1023, Appendix D",12/2024
A84,Commemorative Events,"Instructions for Form 1023, Appendix D",12/2024
A90,Arts Service,"Instructions for Form 1023, Appendix D",12/2024
A99,"Arts, Culture & Humanities N.E.C.","Instructions for Form 1023, Appendix D",12/2024
B01,Alliances & Advocacy Organizations,"Instructions for Form 1023, Appendix D",12/2024
B02,Management & Technical Assistance,"Instructions for Form 1023, Appendix D",12/2024
B03,Professional Society & Associations,"Instructions for Form 1023, Appendix D",12/2024
