activity_code_category,activity_code,activity_code_definition,activity_code_notes
Mutual Organizations,157,Cooperative hospital service organization,Use code 157
Employee Or Membership Benefit Organizations,260,"Fraternal Beneficiary society, order, or association",
Employee Or Membership Benefit Organizations,261,Improvement of conditions of workers,
Employee Or Membership Benefit Organizations,262,Association of municipal employees,
Employee Or Membership Benefit Organizations,263,Association of employees,
Employee Or Membership Benefit Organizations,264,Employee or member welfare association,
Employee Or Membership Benefit Organizations,265,"Sick, accident, death, or similar benefits",
Employee Or Membership Benefit Organizations,266,Strike benefits,
Employee Or Membership Benefit Organizations,267,Unemployment benefits,
Employee Or Membership Benefit Organizations,268,Pension or retirement benefits,
Employee Or Membership Benefit Organizations,269,Vacation benefits,
Employee Or Membership Benefit Organizations,279,Other services or benefits to members or employees,
Sports Athletic Recreational And Social Activities,280,Country club,
Sports Athletic Recreational And Social Activities,281,Hobby club,
Sports Athletic Recreational And Social Activities,282,Dinner club,
Sports Athletic Recreational And Social Activities,283,Variety club,
Sports Athletic Recreational And Social Activities,284,Dog club,
Sports Athletic Recreational And Social Activities,285,Women's club,
Sports Athletic Recreational And Social Activities,286,Hunting or fishing club,
Sports Athletic Recreational And Social Activities,287,Swimming or tennis club,
Sports Athletic Recreational And Social Activities,288,Other sports club,
Sports Athletic Recreational And Social Activities,296,Community center,
Sports Athletic Recreational And Social Activities,297,"Community recreational facilities (park, playground, etc)",
Sports Athletic Recreational And Social Activities,298,Training in sports,
Sports Athletic Recreational And Social Activities,299,Travel tours,
Sports Athletic Recreational And Social Activities,300,Amateur athletic association,
Sports Athletic Recreational And Social Activities,301,Fundraising athletic or sports event,
Sports Athletic Recreational And Social Activities,317,Other sports or athletic activities,
Sports Athletic Recreational And Social Activities,318,Other recreational activities,
Sports Athletic Recreational And Social Activities,319,Other social activities,
Sports Athletic Recreational And Social Activities,356,Garden club,Use code 356
Sports Athletic Recreational And Social Activities,321,"Boys Club, Little League, etc",Use code 321
Sports Athletic Recreational And Social Activities,038,School or college athletic association,Use code 038
Youth Activities,320,"Boy Scouts, Girl Scouts, etc.",
Youth Activities,321,"Boys Club, Little League, etc.",
Youth Activities,322,"FFA, FHA, 4-H club, etc.",
Youth Activities,324,"YMCA, YWCA, etc.",
Youth Activities,325,Camp,
Youth Activities,326,"Care and housing of children (orphanage, etc)",
Youth Activities,327,Prevention of cruelty to children,
Youth Activities,328,Combat juvenile delinquency,
Youth Activities,349,Other youth organization or activities,
Conservation Environmental And Beautification Activities,350,Preservation of natural resources (conservation),
Conservation Environmental And Beautification Activities,351,"Combating or preventing pollution (air, water, etc)",
Conservation Environmental And Beautification Activities,352,Land acquisition for preservation,
Conservation Environmental And Beautification Activities,353,Soil or water conservation,
Conservation Environmental And Beautification Activities,354,Preservation of scenic beauty,
Conservation Environmental And Beautification Activities,355,Wildlife sanctuary or refuge,
Conservation Environmental And Beautification Activities,356,Garden club,
Conservation Environmental And Beautification Activities,379,Other conservation environmental or beautification activities,
Conservation Environmental And Beautification Activities,See Notes,Litigation,See Litigation and Legal Aid Activities (460-465)
Conservation Environmental And Beautification Activities,402,Combat community deterioration,Use code 402
Housing Activities,380,Low-income housing,
Housing Activities,381,Low and moderate income housing,
Housing Activities,382,Housing for the aged,See also 153
Housing Activities,398,Instruction and guidance on housing,
Housing Activities,399,Other housing activities,
Housing Activities,152,Nursing or convalescent home,Use code 152
Housing Activities,042,Student housing,Use code 042
Housing Activities,326,Orphanage,Use code 326
Inner City Or Community Activities,400,Area development redevelopment of renewal,
Inner City Or Community Activities,401,Homeowners' association,
Inner City Or Community Activities,402,Other activity aimed to combating community deterioration,
Inner City Or Community Activities,403,Attracting new industry or retaining industry in an area,
Inner City Or Community Activities,404,Community promotion,
Inner City Or Community Activities,405,Loans or grants for minority businesses,
Inner City Or Community Activities,406,Crime prevention,
Inner City Or Community Activities,407,Voluntary firemen's organization or auxiliary,
Inner City Or Community Activities,408,Community service organization,
Inner City Or Community Activities,429,Other inner city or community benefit activities,
Inner City Or Community Activities,297,Community recreational facility,Use code 297
Inner City Or Community Activities,296,Community center,Use code 296
Inner City Or Community Activities,566,"Job training, counseling, or assistance",Use code 566
Inner City Or Community Activities,574,Day care center,Use code 574
Inner City Or Community Activities,569,Referral service (social agencies),Use code 569
Inner City Or Community Activities,462,Legal aid to indigents,Use code 462
Inner City Or Community Activities,158,Rescue squad,Use code 158
Civil Rights Activities,430,Defense of human and civil rights,
Civil Rights Activities,431,"Elimination of prejudice and discrimination (race, religion, sex, national origin, etc)",
Civil Rights Activities,432,Lessen neighborhood tensions,
Civil Rights Activities,449,Other civil rights activities,
Litigation And Legal Aid Activities,460,Public interest litigation activities,
Litigation And Legal Aid Activities,461,Other litigation or support of litigation,
Litigation And Legal Aid Activities,462,Legal aid to indigents,
