affiliation_code,affiliation_code_definition,affiliation_code_description
1,Central Organization (Individual Ruling),"This code is used if the organization is a central type organization (no group exemption) of a National,
Regional or Geographic grouping of organizations."
2,Intermediate Organization (Individual Ruling),"This code is used if the organization is an intermediate organization (no group exemption) of a
National, Regional or Geographic grouping of organizations (such as a state headquarters of a national
organization)."
3,Independent organization (Individual Ruling),"This code is used if the organization is an independent organization or an independent auxiliary
(i.e., not affiliated with a National, Regional, or Geographic grouping of organizations)."
6,Parent of a group ruling (not a church),"This code is used if the organization is a parent (group ruling) and is not a church or 501(c)(1)
organization."
7,Intermediate parent (subordinate by state),"This code is used if the organization is a group exemption intermediate organization of a National,
Regional or Geographic grouping of organizations."
8,Parent of a church,This code is used if the organization is a parent (group ruling) and is a church or 501(c)(1) organization.
9,"Subordinate of a group ruling (also, group return)",This code is used if the organization is a subordinate in a group ruling.
