foundation_code,foundation_code_definition,foundation_code_effective_date
0,4947(a)(1),20241213
2,Private operating foundation exempt from payment of section 4940 taxes on investment income,20241213
3,Private operating foundation,20241213
4,Private non-operating foundation,20241213
9,Suspense (a specific type not identified),20241213
10,Church—IRC Section 170(b)(1)(A)(i),20241213
11,School—IRC Section 170(b)(1)(A)(ii),20241213
12,Hospital—IRC Section 170(b)(1)(A)(iii),20241213
13,Organizations operated for the benefit of a college or university—IRC Section 170(b)(1)(A)(iv),20241213
14,"Federal, State or local government unit—IRC Section 170(b)(1)(A)(v)",20241213
15,Organization receiving support from governmental unit or general public—IRC Section 170(b)(1)(A)(vi),20241213
16,"General, public charity—IRC Section 509(a)(2)",20241213
17,Public charity supporting (FC 09–15)—IRC Section 509(a)(3),20241213
18,Public safety—IRC Section 509(a)(4),20241213
21,Supporting organization - IRC 509(a)(3) - Type I,20241213
22,Supporting organization - IRC 509(a)(3) - Type II,20241213
23,Supporting organization - IRC 509(a)(3) - Type III functionally integrated,20241213
24,Supporting organization - IRC 509(a)(3) - Type III not functionally integrated,20241213
