dictionary_id,year_month,url,status,title,n_variables_declared,n_variables_parsed,n_records
BMF-1989-06-501CX-NONPROFIT-PX,1989-06,https://urbaninstitute.github.io/nccs-legacy/dictionary/bmf/bmf_archive_html/BMF-1989-06-501CX-NONPROFIT-PX,ok,BMF 1989,28,28,664441
BMF-1995-08-501CX-NONPROFIT-PX,1995-08,https://urbaninstitute.github.io/nccs-legacy/dictionary/bmf/bmf_archive_html/BMF-1995-08-501CX-NONPROFIT-PX,ok,BMF 08/1995,34,34,1069152
BMF-1996-06-501CX-NONPROFIT-PX,1996-06,https://urbaninstitute.github.io/nccs-legacy/dictionary/bmf/bmf_archive_html/BMF-1996-06-501CX-NONPROFIT-PX,ok,BMF 06/1996,34,34,1087620
BMF-1997-10-501CX-NONPROFIT-PX,1997-10,https://urbaninstitute.github.io/nccs-legacy/dictionary/bmf/bmf_archive_html/BMF-1997-10-501CX-NONPROFIT-PX,ok,BMF 10/1997,34,34,1130303
BMF-1998-09-501CX-NONPROFIT-PX,1998-09,https://urbaninstitute.github.io/nccs-legacy/dictionary/bmf/bmf_archive_html/BMF-1998-09-501CX-NONPROFIT-PX,ok,BMF 09/1998,34,34,1161560
BMF-1999-12-501CX-NONPROFIT-PX,1999-12,https://urbaninstitute.github.io/nccs-legacy/dictionary/bmf/bmf_archive_html/BMF-1999-12-501CX-NONPROFIT-PX,ok,BMF 12/1999,34,34,1206303
BMF-2000-05-501CX-NONPROFIT-PX,2000-05,https://urbaninstitute.github.io/nccs-legacy/dictionary/bmf/bmf_archive_html/BMF-2000-05-501CX-NONPROFIT-PX,ok,BMF 05/2000,37,37,1215053
BMF-2001-07-501CX-NONPROFIT-PX,2001-07,https://urbaninstitute.github.io/nccs-legacy/dictionary/bmf/bmf_archive_html/BMF-2001-07-501CX-NONPROFIT-PX,ok,BMF 07/2001,37,37,1262883
BMF-2002-01-501CX-NONPROFIT-PX,2002-01,https://urbaninstitute.github.io/nccs-legacy/dictionary/bmf/bmf_archive_html/BMF-2002-01-501CX-NONPROFIT-PX,ok,BMF 01/2002,38,38,1291867
BMF-2002-07-501CX-NONPROFIT-PX,2002-07,https://urbaninstitute.github.io/nccs-legacy/dictionary/bmf/bmf_archive_html/BMF-2002-07-501CX-NONPROFIT-PX,ok,BMF 07/2002,38,38,1303734
BMF-2003-01-501CX-NONPROFIT-PX,2003-01,,unavailable,,,0,
BMF-2003-07-501CX-NONPROFIT-PX,2003-07,https://urbaninstitute.github.io/nccs-legacy/dictionary/bmf/bmf_archive_html/BMF-2003-07-501CX-NONPROFIT-PX,ok,BMF 07/2003,39,39,1350778
BMF-2003-11-501CX-NONPROFIT-PX,2003-11,https://urbaninstitute.github.io/nccs-legacy/dictionary/bmf/bmf_archive_html/BMF-2003-11-501CX-NONPROFIT-PX,ok,BMF 11/2003,39,39,1372854
BMF-2004-04-501CX-NONPROFIT-PX,2004-04,https://urbaninstitute.github.io/nccs-legacy/dictionary/bmf/bmf_archive_html/BMF-2004-04-501CX-NONPROFIT-PX,ok,BMF 04/2004,39,39,1379703
BMF-2004-12-501CX-NONPROFIT-PX,2004-12,https://urbaninstitute.github.io/nccs-legacy/dictionary/bmf/bmf_archive_html/BMF-2004-12-501CX-NONPROFIT-PX,ok,BMF 12/2004,38,38,1401553
BMF-2005-07-501CX-NONPROFIT-PX,2005-07,https://urbaninstitute.github.io/nccs-legacy/dictionary/bmf/bmf_archive_html/BMF-2005-07-501CX-NONPROFIT-PX,ok,BMF 07/2005,38,38,1407079
BMF-2005-11-501CX-NONPROFIT-PX,2005-11,https://urbaninstitute.github.io/nccs-legacy/dictionary/bmf/bmf_archive_html/BMF-2005-11-501CX-NONPROFIT-PX,ok,BMF 11/2005,39,39,1413708
BMF-2006-01-501CX-NONPROFIT-PX,2006-01,https://urbaninstitute.github.io/nccs-legacy/dictionary/bmf/bmf_archive_html/BMF-2006-01-501CX-NONPROFIT-PX,ok,BMF 01/2006,39,39,1418445
BMF-2006-05-501CX-NONPROFIT-PX,2006-05,https://urbaninstitute.github.io/nccs-legacy/dictionary/bmf/bmf_archive_html/BMF-2006-05-501CX-NONPROFIT-PX,ok,BMF 05/2006,39,39,1411459
BMF-2006-11-501CX-NONPROFIT-PX,2006-11,https://urbaninstitute.github.io/nccs-legacy/dictionary/bmf/bmf_archive_html/BMF-2006-11-501CX-NONPROFIT-PX,ok,BMF 11/2006,39,39,1448485
BMF-2007-01-501CX-NONPROFIT-PX,2007-01,https://urbaninstitute.github.io/nccs-legacy/dictionary/bmf/bmf_archive_html/BMF-2007-01-501CX-NONPROFIT-PX,ok,BMF 01/2007,39,39,1482846
BMF-2007-04-501CX-NONPROFIT-PX,2007-04,https://urbaninstitute.github.io/nccs-legacy/dictionary/bmf/bmf_archive_html/BMF-2007-04-501CX-NONPROFIT-PX,ok,BMF 04/2007,39,39,1483624
BMF-2007-09-501CX-NONPROFIT-PX,2007-09,https://urbaninstitute.github.io/nccs-legacy/dictionary/bmf/bmf_archive_html/BMF-2007-09-501CX-NONPROFIT-PX,ok,BMF 09/2007,39,39,1487054
BMF-2008-01-501CX-NONPROFIT-PX,2008-01,https://urbaninstitute.github.io/nccs-legacy/dictionary/bmf/bmf_archive_html/BMF-2008-01-501CX-NONPROFIT-PX,ok,BMF 01/2008,39,39,1469667
BMF-2008-04-501CX-NONPROFIT-PX,2008-04,https://urbaninstitute.github.io/nccs-legacy/dictionary/bmf/bmf_archive_html/BMF-2008-04-501CX-NONPROFIT-PX,ok,BMF 04/2008,39,39,1473272
